fold,arm,agg_auc_pr,sub_recall
0,selfcheckgpt,92.61738168449895,63.513513513513516
0,bs_baseline,91.73619144835737,33.78378378378378
0,bs_bayesian,92.02161677901834,33.78378378378378
0,bs_graph,92.07497621771347,36.486486486486484
0,cascade,92.4372810801772,86.48648648648648
1,selfcheckgpt,91.40315238319259,74.24242424242425
1,bs_baseline,90.90012540636813,48.484848484848484
1,bs_bayesian,90.62749764911261,43.93939393939394
1,bs_graph,90.7092427920369,43.93939393939394
1,cascade,91.35599506622518,83.33333333333333
2,selfcheckgpt,91.80581558556182,69.11764705882354
2,bs_baseline,91.91777629111641,27.941176470588236
2,bs_bayesian,91.96129094974226,27.941176470588236
2,bs_graph,92.25330174303626,29.41176470588235
2,cascade,92.10854291931281,94.11764705882354
3,selfcheckgpt,93.75384725639813,65.95744680851064
3,bs_baseline,94.25941124929021,27.659574468085108
3,bs_bayesian,93.19088138513622,34.04255319148936
3,bs_graph,93.50445283196002,38.297872340425535
3,cascade,93.95221727384538,91.48936170212765
4,selfcheckgpt,93.50207657716957,67.14285714285714
4,bs_baseline,93.19024542135065,25.714285714285715
4,bs_bayesian,93.8938479471988,27.142857142857142
4,bs_graph,93.79764976945495,28.571428571428573
4,cascade,93.56112083648415,82.85714285714286
